"mins","seconds","result","replicate","sample_id"
0.5,30,2.564413,1,"1-320-136"
0.5,30,2.535491,2,"1-320-136"
0.5,30,2.529064,3,"1-320-136"
0.5,30,3.009659,0,"1-320-136-dup"
0.5,30,2.796773,1,"1-320-136-dup"
0.5,30,3.105539,2,"1-320-136-dup"
0.5,30,2.889403,3,"1-320-136-dup"
0.5,30,2.226424,0,"1-320-137"
0.5,30,2.24264,1,"1-320-137"
0.5,30,2.268585,2,"1-320-137"
0.5,30,2.221559,3,"1-320-137"
0.5,30,3.119913,0,"1-320-138"
0.5,30,2.844245,1,"1-320-138"
0.5,30,2.759923,2,"1-320-138"
0.5,30,2.858839,3,"1-320-138"
0.5,30,3.071480888,0,"1-320-196"
0.5,30,3.078139925,1,"1-320-196"
0.5,30,3.049839017,2,"1-320-196"
0.5,30,3.124753185,3,"1-320-196"
0.5,30,2.578712139,0,"1-320-196-dup"
0.5,30,2.612007324,1,"1-320-196-dup"
0.5,30,2.508792248,2,"1-320-196-dup"
0.5,30,2.537093156,3,"1-320-196-dup"
0.5,30,3.136128,0,"1-320-196-dup2"
0.5,30,3.068793,1,"1-320-196-dup2"
0.5,30,2.964424,2,"1-320-196-dup2"
0.5,30,2.959374,3,"1-320-196-dup2"
0.5,30,3.010959487,0,"1-320-196-dup3"
0.5,30,2.957739528,1,"1-320-196-dup3"
0.5,30,3.131913939,2,"1-320-196-dup3"
0.5,30,2.970641337,3,"1-320-196-dup3"
0.5,30,2.327008,0,"1-320-197"
0.5,30,2.381547,1,"1-320-197"
0.5,30,2.221235,2,"1-320-197"
0.5,30,2.317092,3,"1-320-197"
0.5,30,1.707965209,0,"1-320-197-dup"
0.5,30,1.647837034,1,"1-320-197-dup"
0.5,30,1.66083772,2,"1-320-197-dup"
0.5,30,1.659212634,3,"1-320-197-dup"
0.5,30,2.893886,0,"1-320-198"
0.5,30,2.842652,1,"1-320-198"
0.5,30,3.044282,2,"1-320-198"
0.5,30,3.136833,3,"1-320-198"
0.5,30,2.327122911,0,"1-320-198-dup"
0.5,30,2.416502632,1,"1-320-198-dup"
0.5,30,2.346623941,2,"1-320-198-dup"
0.5,30,2.270244907,3,"1-320-198-dup"
0.5,30,2.599762,0,"1-320-199"
0.5,30,2.459973,1,"1-320-199"
0.5,30,2.51621,2,"1-320-199"
0.5,30,2.283227,3,"1-320-199"
0.5,30,2.543525,0,"1-320-200"
0.5,30,2.57084,1,"1-320-200"
0.5,30,2.549952,2,"1-320-200"
0.5,30,2.588515,3,"1-320-200"
0.5,30,3.083401,0,"1-320-201"
0.5,30,3.136425,1,"1-320-201"
0.5,30,3.060906,2,"1-320-201"
0.5,30,2.988602,3,"1-320-201"
0.5,30,2.565898,0,"1-320-201-dup"
0.5,30,2.585853,1,"1-320-201-dup"
0.5,30,2.539291,2,"1-320-201-dup"
0.5,30,2.552595,3,"1-320-201-dup"
0.5,30,1.506476692,0,"1-320-202"
0.5,30,1.481562524,1,"1-320-202"
0.5,30,1.435056077,2,"1-320-202"
0.5,30,1.536373693,3,"1-320-202"
0.5,30,2.87088,0,"1-320-202-dup"
0.5,30,2.964145,1,"1-320-202-dup"
0.5,30,2.752178,2,"1-320-202-dup"
0.5,30,2.889533,3,"1-320-202-dup"
0.5,30,3.009631495,0,"1-320-203"
0.5,30,3.024579995,1,"1-320-203"
0.5,30,2.959803159,2,"1-320-203"
0.5,30,2.866790265,3,"1-320-203"
0.5,30,3.145828946,0,"1-320-205"
0.5,30,3.160777447,1,"1-320-205"
0.5,30,3.047833219,2,"1-320-205"
0.5,30,3.056137942,3,"1-320-205"
0.5,30,3.110506905,0,"1-320-206"
0.5,30,2.930838636,1,"1-320-206"
0.5,30,2.813733425,2,"1-320-206"
0.5,30,2.780045624,3,"1-320-206"
0.5,30,3.019568475,0,"1-320-246"
0.5,30,3.07923064,1,"1-320-246"
0.5,30,2.636736248,2,"1-320-246"
0.5,30,3.127291829,3,"1-320-246"
0.5,30,3.12,0,"1-320-59"
0.5,30,3.11,1,"1-320-59"
0.5,30,2.88,2,"1-320-59"
0.5,30,2.98,3,"1-320-59"
0.5,30,2.77,0,"1-320-121"
0.5,30,2.59,1,"1-320-121"
0.5,30,2.84,2,"1-320-121"
0.5,30,2.83,3,"1-320-121"
0.5,30,2.56,0,"1-320-143"
0.5,30,2.69,1,"1-320-143"
0.5,30,2.76,2,"1-320-143"
0.5,30,2.69,3,"1-320-143"
0.5,30,2.4,0,"1-320-143-dup"
0.5,30,2.58,1,"1-320-143-dup"
0.5,30,2.32,2,"1-320-143-dup"
0.5,30,2.64,3,"1-320-143-dup"
0.5,30,2.8,0,"1-320-144"
0.5,30,2.7,1,"1-320-144"
0.5,30,2.59,2,"1-320-144"
0.5,30,2.71,3,"1-320-144"
0.5,30,3.05,0,"1-320-146"
0.5,30,2.98,1,"1-320-146"
0.5,30,2.98,2,"1-320-146"
0.5,30,2.96,3,"1-320-146"
0.5,30,3.07,0,"1-320-146-dup"
0.5,30,2.91,1,"1-320-146-dup"
0.5,30,2.61,2,"1-320-146-dup"
0.5,30,2.79,3,"1-320-146-dup"
0.5,30,2.73,0,"1-320-147"
0.5,30,2.7,1,"1-320-147"
0.5,30,2.64,2,"1-320-147"
0.5,30,2.65,3,"1-320-147"
0.5,30,3.06,0,"1-320-150"
0.5,30,2.96,1,"1-320-150"
0.5,30,2.77,2,"1-320-150"
0.5,30,2.96,3,"1-320-150"
0.5,30,3.05,0,"1-320-152"
0.5,30,2.79,1,"1-320-152"
0.5,30,3.05,2,"1-320-152"
0.5,30,2.85,3,"1-320-152"
0.5,30,3.07,0,"1-320-152-dup"
0.5,30,2.74,1,"1-320-152-dup"
0.5,30,2.66,2,"1-320-152-dup"
0.5,30,2.81,3,"1-320-152-dup"
0.5,30,2.54,0,"1-320-156"
0.5,30,2.28,1,"1-320-156"
0.5,30,2.3,2,"1-320-156"
0.5,30,3.05,0,"1-320-158"
0.5,30,2.94,1,"1-320-158"
0.5,30,2.86,2,"1-320-158"
0.5,30,2.86,3,"1-320-158"
0.5,30,2.973288777,0,"1-320-35"
0.5,30,3.058144808,1,"1-320-35"
0.5,30,3.029859464,2,"1-320-35"
0.5,30,3.146328527,3,"1-320-35"
0.5,30,1.022270848,0,"1-320-29"
0.5,30,1.045133135,1,"1-320-29"
0.5,30,1.064729381,2,"1-320-29"
0.5,30,1.053298238,3,"1-320-29"
0.5,30,1.092575265,0,"1-320-40"
0.5,30,1.071564202,1,"1-320-40"
0.5,30,1.115202564,2,"1-320-40"
0.5,30,1.092575265,3,"1-320-40"
0.5,30,2.163948,0,"1-320-89"
0.5,30,2.011394,1,"1-320-89"
0.5,30,1.964965,2,"1-320-89"
0.5,30,2.071089,3,"1-320-89"
0.5,30,2.816852827,0,"1-320-89-dup"
0.5,30,2.776968185,1,"1-320-89-dup"
0.5,30,2.755364004,2,"1-320-89-dup"
0.5,30,2.918226291,3,"1-320-89-dup"
0.5,30,2.668411078,0,"1-320-90"
0.5,30,2.580130312,1,"1-320-90"
0.5,30,3.153122454,2,"1-320-90"
0.5,30,2.673408103,3,"1-320-90"
0.5,30,2.636498,0,"1-320-182"
0.5,30,2.320907,1,"1-320-182"
0.5,30,2.136812,2,"1-320-182"
